search_date,country,raw_query,clicked_product_id,clicked_supplier_sku,search_result_count,zero_result_flag,session_id,customer_segment
2026-02-03,DE,anti cd20 human flow,EB-0001,BA100245,3,0,S001,Academic
2026-02-03,SE,cd20 fitc 2h7,EB-0014,NB-44321,1,0,S002,Biopharma
2026-02-04,DE,anti il6 serum elisa,,,0,1,S003,Academic
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-0004,EL-CD3-FITC,2,0,S004,Hospital
2026-02-05,DE,hela lysate wb control,EB-0013,EL-HELA-LYS,1,0,S005,Biopharma
2026-02-05,DE,tnf alpha diagnostic elisa,EB-0008,CN-TNF-ELISA-96,2,0,S006,Hospital
2026-02-06,DE,human pbmc cryopreserved,EB-0012,BA-PBMC-001,4,0,S007,Academic
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,S008,Biopharma
2026-02-07,SE,flodescytometri cd20 antikropp,EB-0014,NB-44321,1,0,S009,Academic
2026-02-08,DE,protein quantification bca kit 500,EB-0007,LV-BCA-500,5,0,S010,Biopharma
2026-02-03,SE,cd20 fitc 2h7,EB-51123,NB-27747,1,0,GEN-76190,Biopharma
2026-02-06,DE,human pbmc cryopreserved,EB-94043,BA-42015,4,0,GEN-81086,Academic
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-75180,Biopharma
2026-02-03,SE,cd20 fitc 2h7,EB-53353,NB-69911,1,0,GEN-44327,Biopharma
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-60793,EL-38580,2,0,GEN-79894,Hospital
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-51015,Academic
2026-02-05,DE,hela lysate wb control,EB-64569,EL-16340,1,0,GEN-42849,Biopharma
2026-02-06,DE,human pbmc cryopreserved,EB-76051,BA-88928,4,0,GEN-10631,Academic
2026-02-03,DE,anti cd20 human flow,EB-91139,GEN-46789,3,0,GEN-68804,Academic
2026-02-05,DE,tnf alpha diagnostic elisa,EB-83954,CN-46569,2,0,GEN-49518,Hospital
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-49706,EL-31469,2,0,GEN-78825,Hospital
2026-02-03,SE,cd20 fitc 2h7,EB-19334,NB-22518,1,0,GEN-23521,Biopharma
2026-02-03,SE,cd20 fitc 2h7,EB-26930,NB-18846,1,0,GEN-97954,Biopharma
2026-02-07,SE,flodescytometri cd20 antikropp,EB-13340,NB-73588,1,0,GEN-61143,Academic
2026-02-08,DE,protein quantification bca kit 500,EB-39866,LV-54069,5,0,GEN-68144,Biopharma
2026-02-07,SE,flodescytometri cd20 antikropp,EB-32555,NB-31092,1,0,GEN-11218,Academic
2026-02-08,DE,protein quantification bca kit 500,EB-25663,LV-56844,5,0,GEN-87918,Biopharma
2026-02-06,DE,human pbmc cryopreserved,EB-23839,BA-18289,4,0,GEN-23478,Academic
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-95462,Academic
2026-02-06,DE,human pbmc cryopreserved,EB-56211,BA-87870,4,0,GEN-42365,Academic
2026-02-05,DE,tnf alpha diagnostic elisa,EB-49827,CN-73413,2,0,GEN-82104,Hospital
2026-02-07,SE,flodescytometri cd20 antikropp,EB-38943,NB-51276,1,0,GEN-15172,Academic
2026-02-08,DE,protein quantification bca kit 500,EB-46841,LV-31398,5,0,GEN-90780,Biopharma
2026-02-05,DE,tnf alpha diagnostic elisa,EB-29991,CN-76349,2,0,GEN-10216,Hospital
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-47101,Biopharma
2026-02-05,DE,hela lysate wb control,EB-38437,EL-44997,1,0,GEN-81226,Biopharma
2026-02-03,SE,cd20 fitc 2h7,EB-91191,NB-57170,1,0,GEN-65472,Biopharma
2026-02-05,DE,tnf alpha diagnostic elisa,EB-93126,CN-55344,2,0,GEN-61038,Hospital
2026-02-03,DE,anti cd20 human flow,EB-58365,GEN-25758,3,0,GEN-54870,Academic
2026-02-06,DE,human pbmc cryopreserved,EB-26044,BA-88732,4,0,GEN-50307,Academic
2026-02-03,SE,cd20 fitc 2h7,EB-43768,NB-21666,1,0,GEN-10530,Biopharma
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-45805,Biopharma
2026-02-05,DE,tnf alpha diagnostic elisa,EB-76320,CN-47171,2,0,GEN-97585,Hospital
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-20913,Biopharma
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-17838,EL-81826,2,0,GEN-95556,Hospital
2026-02-05,DE,tnf alpha diagnostic elisa,EB-91549,CN-96486,2,0,GEN-62556,Hospital
2026-02-07,SE,flodescytometri cd20 antikropp,EB-49022,NB-61000,1,0,GEN-33473,Academic
2026-02-06,DE,human pbmc cryopreserved,EB-78876,BA-76470,4,0,GEN-60828,Academic
2026-02-06,DE,human pbmc cryopreserved,EB-30008,BA-76096,4,0,GEN-89351,Academic
2026-02-03,SE,cd20 fitc 2h7,EB-97074,NB-62336,1,0,GEN-21573,Biopharma
2026-02-03,DE,anti cd20 human flow,EB-35619,GEN-39527,3,0,GEN-37427,Academic
2026-02-03,SE,cd20 fitc 2h7,EB-37518,NB-30523,1,0,GEN-34343,Biopharma
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-96858,Biopharma
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-35560,Biopharma
2026-02-05,DE,hela lysate wb control,EB-13260,EL-76084,1,0,GEN-46062,Biopharma
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-76531,Biopharma
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-27752,EL-19374,2,0,GEN-88548,Hospital
2026-02-06,DE,human pbmc cryopreserved,EB-90079,BA-92119,4,0,GEN-32151,Academic
2026-02-05,DE,hela lysate wb control,EB-19812,EL-80422,1,0,GEN-41643,Biopharma
2026-02-03,DE,anti cd20 human flow,EB-33360,GEN-36977,3,0,GEN-45184,Academic
2026-02-03,DE,anti cd20 human flow,EB-10750,GEN-56574,3,0,GEN-90035,Academic
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-56371,Academic
2026-02-08,DE,protein quantification bca kit 500,EB-63701,LV-90282,5,0,GEN-45469,Biopharma
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-83512,Academic
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-95103,Biopharma
2026-02-03,SE,cd20 fitc 2h7,EB-65180,NB-19525,1,0,GEN-33526,Biopharma
2026-02-06,DE,human pbmc cryopreserved,EB-68843,BA-88477,4,0,GEN-87680,Academic
2026-02-03,DE,anti cd20 human flow,EB-39502,GEN-77692,3,0,GEN-58511,Academic
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-31027,Academic
2026-02-05,DE,tnf alpha diagnostic elisa,EB-44048,CN-45770,2,0,GEN-97801,Hospital
2026-02-07,SE,flodescytometri cd20 antikropp,EB-80447,NB-69231,1,0,GEN-19248,Academic
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-38740,EL-38591,2,0,GEN-63273,Hospital
2026-02-08,DE,protein quantification bca kit 500,EB-33661,LV-62563,5,0,GEN-43345,Biopharma
2026-02-03,SE,cd20 fitc 2h7,EB-93559,NB-24508,1,0,GEN-47680,Biopharma
2026-02-06,DE,human pbmc cryopreserved,EB-31367,BA-46346,4,0,GEN-51297,Academic
2026-02-06,DE,human pbmc cryopreserved,EB-87495,BA-72062,4,0,GEN-55283,Academic
2026-02-03,DE,anti cd20 human flow,EB-46546,GEN-63050,3,0,GEN-70778,Academic
2026-02-08,DE,protein quantification bca kit 500,EB-62583,LV-66399,5,0,GEN-76267,Biopharma
2026-02-07,SE,flodescytometri cd20 antikropp,EB-60461,NB-78289,1,0,GEN-25978,Academic
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-99387,EL-78902,2,0,GEN-62804,Hospital
2026-02-03,SE,cd20 fitc 2h7,EB-18929,NB-67304,1,0,GEN-90395,Biopharma
2026-02-08,DE,protein quantification bca kit 500,EB-67247,LV-48427,5,0,GEN-67100,Biopharma
2026-02-03,SE,cd20 fitc 2h7,EB-45847,NB-76277,1,0,GEN-54914,Biopharma
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-51981,EL-29324,2,0,GEN-96857,Hospital
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-14485,EL-14506,2,0,GEN-41885,Hospital
2026-02-03,DE,anti cd20 human flow,EB-40422,GEN-30465,3,0,GEN-17419,Academic
2026-02-06,DE,human pbmc cryopreserved,EB-25912,BA-92529,4,0,GEN-42590,Academic
2026-02-03,SE,cd20 fitc 2h7,EB-30959,NB-52450,1,0,GEN-50552,Biopharma
2026-02-07,SE,flodescytometri cd20 antikropp,EB-83679,NB-57001,1,0,GEN-32178,Academic
2026-02-05,DE,hela lysate wb control,EB-50544,EL-41599,1,0,GEN-16785,Biopharma
2026-02-03,DE,anti cd20 human flow,EB-68026,GEN-81183,3,0,GEN-18481,Academic
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-22865,EL-23936,2,0,GEN-57711,Hospital
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-27737,EL-34140,2,0,GEN-81940,Hospital
2026-02-03,DE,anti cd20 human flow,EB-14655,GEN-21789,3,0,GEN-22151,Academic
2026-02-06,DE,human pbmc cryopreserved,EB-28672,BA-49928,4,0,GEN-99616,Academic
2026-02-06,DE,human pbmc cryopreserved,EB-59979,BA-31053,4,0,GEN-95884,Academic
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-46223,Academic
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-45844,EL-16598,2,0,GEN-81578,Hospital
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-80478,EL-76765,2,0,GEN-41606,Hospital
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-49744,EL-78572,2,0,GEN-56224,Hospital
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-82053,EL-23808,2,0,GEN-88183,Hospital
2026-02-03,DE,anti cd20 human flow,EB-35852,GEN-83950,3,0,GEN-28718,Academic
2026-02-07,SE,flodescytometri cd20 antikropp,EB-66741,NB-39571,1,0,GEN-73692,Academic
2026-02-03,SE,cd20 fitc 2h7,EB-79703,NB-30830,1,0,GEN-52440,Biopharma
2026-02-03,DE,anti cd20 human flow,EB-46452,GEN-21181,3,0,GEN-25048,Academic
2026-02-05,DE,hela lysate wb control,EB-67120,EL-51395,1,0,GEN-19156,Biopharma
2026-02-05,DE,hela lysate wb control,EB-48298,EL-11106,1,0,GEN-24733,Biopharma
2026-02-03,DE,anti cd20 human flow,EB-89460,GEN-93607,3,0,GEN-97103,Academic
2026-02-03,SE,cd20 fitc 2h7,EB-98491,NB-38678,1,0,GEN-89082,Biopharma
2026-02-07,SE,flodescytometri cd20 antikropp,EB-17703,NB-39227,1,0,GEN-66310,Academic
2026-02-03,DE,anti cd20 human flow,EB-79115,GEN-93819,3,0,GEN-27159,Academic
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-96074,Biopharma
2026-02-05,DE,tnf alpha diagnostic elisa,EB-12335,CN-37912,2,0,GEN-36973,Hospital
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-62045,Academic
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-19989,Academic
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-94554,Biopharma
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-90463,EL-62998,2,0,GEN-73421,Hospital
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-62144,EL-55585,2,0,GEN-73073,Hospital
2026-02-03,DE,anti cd20 human flow,EB-67587,GEN-34954,3,0,GEN-26896,Academic
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-74133,Academic
2026-02-07,SE,flodescytometri cd20 antikropp,EB-18464,NB-61283,1,0,GEN-85183,Academic
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-37320,EL-18346,2,0,GEN-85140,Hospital
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-40710,Biopharma
2026-02-05,DE,hela lysate wb control,EB-22139,EL-97963,1,0,GEN-69785,Biopharma
2026-02-07,SE,flodescytometri cd20 antikropp,EB-64517,NB-94800,1,0,GEN-95309,Academic
2026-02-07,SE,flodescytometri cd20 antikropp,EB-76959,NB-21448,1,0,GEN-64093,Academic
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-15335,EL-26842,2,0,GEN-69165,Hospital
2026-02-03,SE,cd20 fitc 2h7,EB-82943,NB-94658,1,0,GEN-40184,Biopharma
2026-02-06,DE,human pbmc cryopreserved,EB-81177,BA-47080,4,0,GEN-14713,Academic
2026-02-05,DE,hela lysate wb control,EB-49280,EL-81056,1,0,GEN-26189,Biopharma
2026-02-03,DE,anti cd20 human flow,EB-63544,GEN-90691,3,0,GEN-31209,Academic
2026-02-04,DE,anti il6 serum elisa,,,0,1,GEN-61299,Academic
2026-02-03,SE,cd20 fitc 2h7,EB-76778,NB-84074,1,0,GEN-95970,Biopharma
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-12278,Biopharma
2026-02-06,DE,cluster of differentiation 20 antibody,,,0,1,GEN-71161,Biopharma
2026-02-03,DE,anti cd20 human flow,EB-89914,GEN-59451,3,0,GEN-83345,Academic
2026-02-08,DE,protein quantification bca kit 500,EB-18552,LV-23456,5,0,GEN-73390,Biopharma
2026-02-07,SE,flodescytometri cd20 antikropp,EB-49704,NB-35500,1,0,GEN-38418,Academic
2026-02-06,DE,human pbmc cryopreserved,EB-54268,BA-20265,4,0,GEN-47785,Academic
2026-02-05,DE,hela lysate wb control,EB-55051,EL-54368,1,0,GEN-14335,Biopharma
2026-02-03,SE,cd20 fitc 2h7,EB-68067,NB-87366,1,0,GEN-37682,Biopharma
2026-02-07,SE,flodescytometri cd20 antikropp,EB-28787,NB-11151,1,0,GEN-60517,Academic
2026-02-04,FR,cytometrie en flux cd3 fitc,EB-59793,EL-79508,2,0,GEN-28643,Hospital
2026-02-08,DE,protein quantification bca kit 500,EB-22951,LV-12691,5,0,GEN-56745,Biopharma
