supplier_name,supplier_sku,internal_product_id,country,price_local,currency,inventory_status,lead_time_days,min_order_qty,last_feed_timestamp,discontinued_flag
BioAxis,BA-100245,EB-0001,DE,389.50,EUR,In Stock,5,1,2026-02-01T05:00:00,N
EuroLab,EL-7782,EB-0001,DE,389.50,EUR,Lagernd,2,1,2026-01-29T06:00:00,N
NordBio Sweden,NB-44321,EB-0014,SE,410.00,SEK,Available,4,1,2026-02-02T04:00:00,N
BioAxis,BA-100246,EB-0003,US,465.00,USD,In Stock,6,1,2026-02-01T05:00:00,N
EuroLab,EL-7783,EB-0003,DE,402.00,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
ImmunoPeak,IP-CD3-FITC-100,EB-0004,DE,319.00,EUR,In Stock,4,1,2026-02-03T05:00:00,N
LabVeritas,LV-GAPDH-RB-100,EB-0006,DE,205.00,EUR,In Stock,3,1,2026-02-02T05:00:00,N
BioGnostics,BG-GAPDH-100,EB-0006,DE,199.00,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
NordAssay,NA-IL6-96,EB-0010,DE,520.00,EUR,2 Wochen,14,1,2026-01-26T06:00:00,N
CytoNova,CN-TNF-ELISA-96,EB-0008,US,520.00,USD,In Stock,12,1,2026-02-02T05:00:00,N
CytoNova,CN-TNF-ELISA-96-DX,EB-0009,US,548.00,USD,Backorder,21,1,2026-02-02T05:00:00,N
CytoNova,CN-HELA-LYSATE,EB-0013,DE,119.00,EUR,Discontinued,0,1,2025-10-30T05:00:00,Y
EuroLab,EL-35397,EB-12498,DE,466.85,EUR,Lagernd,2,1,2026-01-29T06:00:00,N
BioAxis,BA-14055,EB-14555,DE,405.76,EUR,In Stock,5,1,2026-02-01T05:00:00,N
LabVeritas,LV-45125,EB-67608,DE,202.66,EUR,In Stock,3,1,2026-02-02T05:00:00,N
LabVeritas,LV-93644,EB-76920,DE,193.64,EUR,In Stock,3,1,2026-02-02T05:00:00,N
CytoNova,CN-42774,EB-23137,US,614.60,USD,In Stock,12,1,2026-02-02T05:00:00,N
BioAxis,BA-24447,EB-22495,DE,314.09,EUR,In Stock,5,1,2026-02-01T05:00:00,N
NordBio Sweden,NB-99184,EB-76087,SE,329.70,SEK,Available,4,1,2026-02-02T04:00:00,N
NordBio Sweden,NB-39346,EB-78764,SE,459.72,SEK,Available,4,1,2026-02-02T04:00:00,N
CytoNova,CN-31527,EB-30095,US,561.12,USD,In Stock,12,1,2026-02-02T05:00:00,N
NordBio Sweden,NB-91886,EB-41532,SE,383.24,SEK,Available,4,1,2026-02-02T04:00:00,N
BioAxis,BA-16040,EB-82445,US,378.52,USD,In Stock,6,1,2026-02-01T05:00:00,N
EuroLab,EL-93914,EB-75941,DE,337.64,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
CytoNova,CN-83551,EB-77281,US,549.31,USD,In Stock,12,1,2026-02-02T05:00:00,N
BioGnostics,BG-55773,EB-88520,DE,180.11,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
NordAssay,NA-67778,EB-70997,DE,517.07,EUR,2 Wochen,14,1,2026-01-26T06:00:00,N
NordBio Sweden,NB-21101,EB-74075,SE,328.33,SEK,Available,4,1,2026-02-02T04:00:00,N
EuroLab,EL-53894,EB-43301,DE,401.22,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
ImmunoPeak,IP-77814,EB-59717,DE,261.03,EUR,In Stock,4,1,2026-02-03T05:00:00,N
BioAxis,BA-15579,EB-11747,DE,350.76,EUR,In Stock,5,1,2026-02-01T05:00:00,N
EuroLab,EL-22647,EB-37498,DE,337.11,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
EuroLab,EL-22102,EB-58914,DE,350.99,EUR,Lagernd,2,1,2026-01-29T06:00:00,N
BioAxis,BA-82301,EB-56479,DE,345.38,EUR,In Stock,5,1,2026-02-01T05:00:00,N
BioAxis,BA-94214,EB-64849,DE,348.01,EUR,In Stock,5,1,2026-02-01T05:00:00,N
LabVeritas,LV-59648,EB-97299,DE,245.78,EUR,In Stock,3,1,2026-02-02T05:00:00,N
BioAxis,BA-84963,EB-52258,US,492.41,USD,In Stock,6,1,2026-02-01T05:00:00,N
EuroLab,EL-25357,EB-91760,DE,318.55,EUR,Lagernd,2,1,2026-01-29T06:00:00,N
CytoNova,CN-54950,EB-28860,DE,131.86,EUR,Discontinued,0,1,2025-10-30T05:00:00,Y
CytoNova,CN-76670,EB-51919,US,551.50,USD,Backorder,21,1,2026-02-02T05:00:00,N
EuroLab,EL-42566,EB-68472,DE,378.60,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
BioGnostics,BG-22967,EB-47629,DE,200.53,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
EuroLab,EL-35769,EB-94740,DE,352.60,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
BioGnostics,BG-23957,EB-65290,DE,227.01,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
CytoNova,CN-23223,EB-45903,US,656.85,USD,Backorder,21,1,2026-02-02T05:00:00,N
BioAxis,BA-67342,EB-50027,US,493.34,USD,In Stock,6,1,2026-02-01T05:00:00,N
CytoNova,CN-56037,EB-95686,US,560.12,USD,Backorder,21,1,2026-02-02T05:00:00,N
CytoNova,CN-76958,EB-35713,DE,119.86,EUR,Discontinued,0,1,2025-10-30T05:00:00,Y
EuroLab,EL-50497,EB-97599,DE,334.19,EUR,Lagernd,2,1,2026-01-29T06:00:00,N
LabVeritas,LV-78540,EB-49854,DE,235.84,EUR,In Stock,3,1,2026-02-02T05:00:00,N
CytoNova,CN-54817,EB-57305,US,618.72,USD,In Stock,12,1,2026-02-02T05:00:00,N
NordBio Sweden,NB-46978,EB-11471,SE,455.69,SEK,Available,4,1,2026-02-02T04:00:00,N
BioAxis,BA-78876,EB-96234,US,511.83,USD,In Stock,6,1,2026-02-01T05:00:00,N
BioGnostics,BG-79114,EB-40060,DE,207.50,EUR,Lagernd,5,1,2026-01-31T06:00:00,N
LabVeritas,LV-67031,EB-31896,DE,200.68,EUR,In Stock,3,1,2026-02-02T05:00:00,N
NordBio Sweden,NB-58899,EB-25620,SE,447.58,SEK,Available,4,1,2026-02-02T04:00:00,N
EuroLab,EL-18128,EB-17190,DE,365.63,EUR,Lagernd,3,1,2026-01-28T06:00:00,N
LabVeritas,LV-76820,EB-45304,DE,174.33,EUR,In Stock,3,1,2026-02-02T05:00:00,N
CytoNova,CN-93211,EB-53278,US,434.55,USD,In Stock,12,1,2026-02-02T05:00:00,N
CytoNova,CN-50179,EB-92793,US,422.44,USD,In Stock,12,1,2026-02-02T05:00:00,N
CytoNova,CN-91659,EB-66723,DE,128.94,EUR,Discontinued,0,1,2025-10-30T05:00:00,Y
NordBio Sweden,NB-63776,EB-76949,SE,450.75,SEK,Available,4,1,2026-02-02T04:00:00,N
NordAssay,NA-71783,EB-14933,DE,524.47,EUR,2 Wochen,14,1,2026-01-26T06:00:00,N
NordAssay,NA-15245,EB-54703,DE,580.42,EUR,2 Wochen,14,1,2026-01-26T06:00:00,N
LabVeritas,LV-83802,EB-60650,DE,174.06,EUR,In Stock,3,1,2026-02-02T05:00:00,N
NordAssay,NA-73840,EB-56610,DE,437.09,EUR,2 Wochen,14,1,2026-01-26T06:00:00,N
BioAxis,BA-93053,EB-92726,DE,430.28,EUR,In Stock,5,1,2026-02-01T05:00:00,N
CytoNova,CN-96724,EB-90380,US,643.84,USD,Backorder,21,1,2026-02-02T05:00:00,N
