vendor,product_code,product_title_local,product_title_english,anwendung,spezies,zielprotein,packung,preis_eur,waehrung,lagerstatus,beschreibung,ce_ivd,research_only,country_market
EuroLab,EL-7782,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-7783,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
NordAssay,NA-IL6-96,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
NordAssay,NA-TNF-96,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-CD3-FITC,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
BioGnostics,BG-GAPDH-100,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
BioGnostics,BG-BCA-500,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
EuroLab,EL-PBMC-10,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
NordAssay,NA-IL2-10UG,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
EuroLab,EL-HELA-LYS,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
EuroLab,EL-97095,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
BioGnostics,BG-85272,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
EuroLab,EL-47490,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
BioGnostics,BG-94971,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
EuroLab,EL-19033,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-98273,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
EuroLab,EL-57941,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
EuroLab,EL-85125,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
EuroLab,EL-73827,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
EuroLab,EL-48600,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
NordAssay,NA-64736,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
NordAssay,NA-66007,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
NordAssay,NA-50391,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-27716,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
BioGnostics,BG-61053,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
BioGnostics,BG-13105,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
BioGnostics,BG-17547,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
BioGnostics,BG-92915,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
NordAssay,NA-74721,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
BioGnostics,BG-30553,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
BioGnostics,BG-16254,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
BioGnostics,BG-91219,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
NordAssay,NA-81832,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
NordAssay,NA-87066,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
EuroLab,EL-60035,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
BioGnostics,BG-80190,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
NordAssay,NA-11057,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-71336,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
NordAssay,NA-66499,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-55260,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
NordAssay,NA-29024,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
NordAssay,NA-74820,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-56791,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
NordAssay,NA-51707,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
EuroLab,EL-73483,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-60666,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
BioGnostics,BG-97949,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
NordAssay,NA-55139,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
NordAssay,NA-35436,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
NordAssay,NA-46803,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
EuroLab,EL-86568,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-65317,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
BioGnostics,BG-37379,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
NordAssay,NA-41671,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
BioGnostics,BG-70803,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
EuroLab,EL-77087,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
BioGnostics,BG-77097,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
EuroLab,EL-74858,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
EuroLab,EL-85484,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
EuroLab,EL-52245,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
EuroLab,EL-51890,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
BioGnostics,BG-78538,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
EuroLab,EL-86463,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-41689,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
EuroLab,EL-12862,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
NordAssay,NA-53834,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
NordAssay,NA-26529,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
BioGnostics,BG-77618,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
NordAssay,NA-98999,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
NordAssay,NA-75207,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
BioGnostics,BG-85799,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
EuroLab,EL-78246,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-64800,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-39314,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
BioGnostics,BG-17374,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
EuroLab,EL-18508,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-86561,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
BioGnostics,BG-51328,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
NordAssay,NA-58999,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-87588,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
