supplier_name,supplier_sku,supplier_product_name,target,host_species,reactivity,application,clone,conjugate,size,size_unit,price_usd,currency,availability_status,lead_time_days,datasheet_id,ruo_flag,description
BioAxis,BA-100245,Anti-CD20 Monoclonal Antibody,CD20,Mouse,Human,FC,2H7,FITC,100,uL,449.00,USD,In Stock,5,ds_001,Y,Validated for flow cytometry on human PBMC samples
BioAxis,BA-100246,Anti-CD20 Monoclonal Antibody,CD20,Mouse,Human,Flow Cytometry,2H7,PE,100,uL,465.00,USD,In Stock,6,ds_002,Y,PE conjugated variant for human samples
BioAxis,BA 100245 XL,Anti CD20 mAb,CD-20,Mouse,Hu,FACS,2H7,Fitc,0.5,mL,1799.00,USD,In Stock,7,ds_003,Y,"Same clone, larger pack size"
ImmunoPeak,IP-CD3-FITC-100,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,FC,UCHT1,FITC,100,uL,329.00,USD,In Stock,4,ds_004,Y,Flow cytometry reagent for whole blood
ImmunoPeak,IP-CD3-NA-100,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,Flow,UCHT1,No conjugate,100,uL,289.00,USD,Low Stock,9,ds_005,Y,Unconjugated format for secondary antibody workflows
LabVeritas,LV-GAPDH-RB-100,GAPDH Rabbit Polyclonal Antibody,GAPDH,Rabbit,"Human, Mouse",WB,,,100,uL,210.00,USD,In Stock,3,ds_006,Y,Validated in western blot. Suitable for cell lysates.
LabVeritas,LV-BCA-500,BCA Protein Assay Kit,,,,Protein Quantification,,,500,tests,189.00,USD,In Stock,5,ds_007,Y,Colorimetric protein quantification kit
CytoNova,CN-IL2-REC-10UG,Recombinant Human IL-2 Protein,IL2,,Human,Cell Culture,,,10,ug,145.00,USD,In Stock,8,ds_008,Y,Carrier free recombinant human IL-2
CytoNova,CN-TNF-ELISA-96,TNF-alpha ELISA Kit,TNF-alpha,,Human,ELISA,,HRP,96,wells,520.00,USD,In Stock,12,ds_009,Y,Sandwich ELISA for serum and plasma
CytoNova,CN-TNF-ELISA-96-DX,TNF alpha ELISA Kit,TNFα,,Human,ELISA,,HRP,96,tests,548.00,USD,Backorder,21,ds_010,N,Diagnostic use labeling under evaluation
BioAxis,BA-PBMC-001,"Human PBMC, Cryopreserved",,,Human,Cell Assay,,,10,vials,690.00,USD,In Stock,2,ds_011,Y,"Healthy donor PBMC, cryopreserved"
CytoNova,CN-HELA-LYSATE,HeLa Cell Lysate,,,Human,WB,,,100,ug,125.00,USD,Discontinued,0,ds_012,Y,Whole cell lysate from HeLa line
ImmunoPeak,IP-92120,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,FC,UCHT1,FITC,100,uL,337.46,USD,In Stock,4,GEN-54646,Y,Flow cytometry reagent for whole blood
CytoNova,CN-64157,TNF-alpha ELISA Kit,TNF-alpha,,Human,ELISA,,HRP,96,wells,463.50,USD,In Stock,12,GEN-43603,Y,Sandwich ELISA for serum and plasma
LabVeritas,LV-84519,BCA Protein Assay Kit,,,,Protein Quantification,,,500,tests,180.59,USD,In Stock,5,GEN-54754,Y,Colorimetric protein quantification kit
ImmunoPeak,IP-68410,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,Flow,UCHT1,No conjugate,100,uL,281.01,USD,Low Stock,9,GEN-46707,Y,Unconjugated format for secondary antibody workflows
CytoNova,CN-52737,Recombinant Human IL-2 Protein,IL2,,Human,Cell Culture,,,10,ug,159.07,USD,In Stock,8,GEN-91324,Y,Carrier free recombinant human IL-2
CytoNova,CN-51032,HeLa Cell Lysate,,,Human,WB,,,100,ug,148.01,USD,Discontinued,0,GEN-57808,Y,Whole cell lysate from HeLa line
BioAxis,BA-82493,Anti-CD20 Monoclonal Antibody,CD20,Mouse,Human,FC,2H7,FITC,100,uL,437.76,USD,In Stock,5,GEN-58725,Y,Validated for flow cytometry on human PBMC samples
CytoNova,CN-73973,HeLa Cell Lysate,,,Human,WB,,,100,ug,132.58,USD,Discontinued,0,GEN-18864,Y,Whole cell lysate from HeLa line
BioAxis,GEN-47759,Anti CD20 mAb,CD-20,Mouse,Hu,FACS,2H7,Fitc,0.5,mL,1441.84,USD,In Stock,7,GEN-85695,Y,"Same clone, larger pack size"
LabVeritas,LV-89645,GAPDH Rabbit Polyclonal Antibody,GAPDH,Rabbit,"Human, Mouse",WB,,,100,uL,216.58,USD,In Stock,3,GEN-39248,Y,Validated in western blot. Suitable for cell lysates.
CytoNova,CN-49246,TNF-alpha ELISA Kit,TNF-alpha,,Human,ELISA,,HRP,96,wells,444.25,USD,In Stock,12,GEN-77572,Y,Sandwich ELISA for serum and plasma
CytoNova,CN-32941,TNF alpha ELISA Kit,TNFα,,Human,ELISA,,HRP,96,tests,507.72,USD,Backorder,21,GEN-73570,N,Diagnostic use labeling under evaluation
LabVeritas,LV-76233,GAPDH Rabbit Polyclonal Antibody,GAPDH,Rabbit,"Human, Mouse",WB,,,100,uL,192.91,USD,In Stock,3,GEN-56848,Y,Validated in western blot. Suitable for cell lysates.
CytoNova,CN-83006,TNF alpha ELISA Kit,TNFα,,Human,ELISA,,HRP,96,tests,622.88,USD,Backorder,21,GEN-31916,N,Diagnostic use labeling under evaluation
LabVeritas,LV-72128,GAPDH Rabbit Polyclonal Antibody,GAPDH,Rabbit,"Human, Mouse",WB,,,100,uL,170.03,USD,In Stock,3,GEN-74726,Y,Validated in western blot. Suitable for cell lysates.
BioAxis,BA-70609,"Human PBMC, Cryopreserved",,,Human,Cell Assay,,,10,vials,630.95,USD,In Stock,2,GEN-55719,Y,"Healthy donor PBMC, cryopreserved"
BioAxis,BA-55560,"Human PBMC, Cryopreserved",,,Human,Cell Assay,,,10,vials,589.27,USD,In Stock,2,GEN-70494,Y,"Healthy donor PBMC, cryopreserved"
CytoNova,CN-30334,Recombinant Human IL-2 Protein,IL2,,Human,Cell Culture,,,10,ug,166.93,USD,In Stock,8,GEN-39813,Y,Carrier free recombinant human IL-2
ImmunoPeak,IP-33226,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,FC,UCHT1,FITC,100,uL,263.58,USD,In Stock,4,GEN-67235,Y,Flow cytometry reagent for whole blood
ImmunoPeak,IP-92175,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,FC,UCHT1,FITC,100,uL,280.33,USD,In Stock,4,GEN-19108,Y,Flow cytometry reagent for whole blood
LabVeritas,LV-72569,BCA Protein Assay Kit,,,,Protein Quantification,,,500,tests,179.32,USD,In Stock,5,GEN-89202,Y,Colorimetric protein quantification kit
LabVeritas,LV-87999,GAPDH Rabbit Polyclonal Antibody,GAPDH,Rabbit,"Human, Mouse",WB,,,100,uL,202.57,USD,In Stock,3,GEN-20447,Y,Validated in western blot. Suitable for cell lysates.
CytoNova,CN-92197,Recombinant Human IL-2 Protein,IL2,,Human,Cell Culture,,,10,ug,116.96,USD,In Stock,8,GEN-45178,Y,Carrier free recombinant human IL-2
LabVeritas,LV-77412,BCA Protein Assay Kit,,,,Protein Quantification,,,500,tests,171.69,USD,In Stock,5,GEN-58122,Y,Colorimetric protein quantification kit
BioAxis,BA-58887,Anti-CD20 Monoclonal Antibody,CD20,Mouse,Human,FC,2H7,FITC,100,uL,362.08,USD,In Stock,5,GEN-78255,Y,Validated for flow cytometry on human PBMC samples
BioAxis,BA-17492,Anti-CD20 Monoclonal Antibody,CD20,Mouse,Human,Flow Cytometry,2H7,PE,100,uL,400.23,USD,In Stock,6,GEN-65982,Y,PE conjugated variant for human samples
CytoNova,CN-17451,TNF alpha ELISA Kit,TNFα,,Human,ELISA,,HRP,96,tests,622.10,USD,Backorder,21,GEN-85007,N,Diagnostic use labeling under evaluation
BioAxis,BA-12666,"Human PBMC, Cryopreserved",,,Human,Cell Assay,,,10,vials,755.11,USD,In Stock,2,GEN-47911,Y,"Healthy donor PBMC, cryopreserved"
LabVeritas,LV-38177,GAPDH Rabbit Polyclonal Antibody,GAPDH,Rabbit,"Human, Mouse",WB,,,100,uL,193.49,USD,In Stock,3,GEN-85137,Y,Validated in western blot. Suitable for cell lysates.
BioAxis,GEN-68255,Anti CD20 mAb,CD-20,Mouse,Hu,FACS,2H7,Fitc,0.5,mL,2107.82,USD,In Stock,7,GEN-18777,Y,"Same clone, larger pack size"
ImmunoPeak,IP-22879,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,Flow,UCHT1,No conjugate,100,uL,342.21,USD,Low Stock,9,GEN-39665,Y,Unconjugated format for secondary antibody workflows
BioAxis,BA-38863,Anti-CD20 Monoclonal Antibody,CD20,Mouse,Human,FC,2H7,FITC,100,uL,484.69,USD,In Stock,5,GEN-89628,Y,Validated for flow cytometry on human PBMC samples
BioAxis,GEN-11394,Anti CD20 mAb,CD-20,Mouse,Hu,FACS,2H7,Fitc,0.5,mL,1956.59,USD,In Stock,7,GEN-22683,Y,"Same clone, larger pack size"
BioAxis,BA-61770,Anti-CD20 Monoclonal Antibody,CD20,Mouse,Human,Flow Cytometry,2H7,PE,100,uL,416.11,USD,In Stock,6,GEN-37716,Y,PE conjugated variant for human samples
ImmunoPeak,IP-22453,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,Flow,UCHT1,No conjugate,100,uL,255.25,USD,Low Stock,9,GEN-80723,Y,Unconjugated format for secondary antibody workflows
CytoNova,CN-38711,Recombinant Human IL-2 Protein,IL2,,Human,Cell Culture,,,10,ug,143.07,USD,In Stock,8,GEN-64430,Y,Carrier free recombinant human IL-2
BioAxis,GEN-31836,Anti CD20 mAb,CD-20,Mouse,Hu,FACS,2H7,Fitc,0.5,mL,2057.52,USD,In Stock,7,GEN-99746,Y,"Same clone, larger pack size"
CytoNova,CN-42678,TNF alpha ELISA Kit,TNFα,,Human,ELISA,,HRP,96,tests,473.48,USD,Backorder,21,GEN-82109,N,Diagnostic use labeling under evaluation
CytoNova,CN-53672,Recombinant Human IL-2 Protein,IL2,,Human,Cell Culture,,,10,ug,131.60,USD,In Stock,8,GEN-74231,Y,Carrier free recombinant human IL-2
CytoNova,CN-48557,HeLa Cell Lysate,,,Human,WB,,,100,ug,130.63,USD,Discontinued,0,GEN-32906,Y,Whole cell lysate from HeLa line
BioAxis,BA-39961,"Human PBMC, Cryopreserved",,,Human,Cell Assay,,,10,vials,752.74,USD,In Stock,2,GEN-74181,Y,"Healthy donor PBMC, cryopreserved"
BioAxis,BA-34915,Anti-CD20 Monoclonal Antibody,CD20,Mouse,Human,FC,2H7,FITC,100,uL,479.37,USD,In Stock,5,GEN-76101,Y,Validated for flow cytometry on human PBMC samples
CytoNova,CN-31734,HeLa Cell Lysate,,,Human,WB,,,100,ug,113.24,USD,Discontinued,0,GEN-54073,Y,Whole cell lysate from HeLa line
BioAxis,BA-93507,"Human PBMC, Cryopreserved",,,Human,Cell Assay,,,10,vials,739.44,USD,In Stock,2,GEN-31801,Y,"Healthy donor PBMC, cryopreserved"
CytoNova,CN-69151,TNF alpha ELISA Kit,TNFα,,Human,ELISA,,HRP,96,tests,509.07,USD,Backorder,21,GEN-36448,N,Diagnostic use labeling under evaluation
CytoNova,CN-68752,HeLa Cell Lysate,,,Human,WB,,,100,ug,103.50,USD,Discontinued,0,GEN-97669,Y,Whole cell lysate from HeLa line
CytoNova,CN-64836,TNF-alpha ELISA Kit,TNF-alpha,,Human,ELISA,,HRP,96,wells,439.64,USD,In Stock,12,GEN-30449,Y,Sandwich ELISA for serum and plasma
CytoNova,CN-56705,TNF-alpha ELISA Kit,TNF-alpha,,Human,ELISA,,HRP,96,wells,469.19,USD,In Stock,12,GEN-58425,Y,Sandwich ELISA for serum and plasma
LabVeritas,LV-97621,BCA Protein Assay Kit,,,,Protein Quantification,,,500,tests,189.42,USD,In Stock,5,GEN-93176,Y,Colorimetric protein quantification kit
CytoNova,CN-98963,Recombinant Human IL-2 Protein,IL2,,Human,Cell Culture,,,10,ug,141.89,USD,In Stock,8,GEN-54805,Y,Carrier free recombinant human IL-2
BioAxis,BA-46372,Anti-CD20 Monoclonal Antibody,CD20,Mouse,Human,FC,2H7,FITC,100,uL,503.96,USD,In Stock,5,GEN-80548,Y,Validated for flow cytometry on human PBMC samples
BioAxis,GEN-76569,Anti CD20 mAb,CD-20,Mouse,Hu,FACS,2H7,Fitc,0.5,mL,2080.46,USD,In Stock,7,GEN-38927,Y,"Same clone, larger pack size"
BioAxis,GEN-17360,Anti CD20 mAb,CD-20,Mouse,Hu,FACS,2H7,Fitc,0.5,mL,1659.24,USD,In Stock,7,GEN-43546,Y,"Same clone, larger pack size"
BioAxis,BA-88527,"Human PBMC, Cryopreserved",,,Human,Cell Assay,,,10,vials,720.09,USD,In Stock,2,GEN-30648,Y,"Healthy donor PBMC, cryopreserved"
BioAxis,GEN-32591,Anti CD20 mAb,CD-20,Mouse,Hu,FACS,2H7,Fitc,0.5,mL,1769.39,USD,In Stock,7,GEN-78151,Y,"Same clone, larger pack size"
ImmunoPeak,IP-89710,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,Flow,UCHT1,No conjugate,100,uL,277.88,USD,Low Stock,9,GEN-44001,Y,Unconjugated format for secondary antibody workflows
ImmunoPeak,IP-35892,"Anti-CD3 antibody, clone UCHT1",CD3,Mouse,Human,FC,UCHT1,FITC,100,uL,263.89,USD,In Stock,4,GEN-66873,Y,Flow cytometry reagent for whole blood
CytoNova,CN-89078,HeLa Cell Lysate,,,Human,WB,,,100,ug,107.63,USD,Discontinued,0,GEN-37837,Y,Whole cell lysate from HeLa line
LabVeritas,LV-63921,BCA Protein Assay Kit,,,,Protein Quantification,,,500,tests,152.87,USD,In Stock,5,GEN-80291,Y,Colorimetric protein quantification kit
BioAxis,BA-48730,Anti-CD20 Monoclonal Antibody,CD20,Mouse,Human,FC,2H7,FITC,100,uL,514.40,USD,In Stock,5,GEN-65648,Y,Validated for flow cytometry on human PBMC samples
LabVeritas,LV-70543,GAPDH Rabbit Polyclonal Antibody,GAPDH,Rabbit,"Human, Mouse",WB,,,100,uL,234.40,USD,In Stock,3,GEN-73686,Y,Validated in western blot. Suitable for cell lysates.
